iteration	evaluations	runtime[s]	distance[MIN]
1	160	0.128	1405.306995406566
2	320	0.196	1329.7937917902532
3	480	0.265	1293.7068352773979
4	640	0.328	1293.7068352773979
5	800	0.398	1172.4270528131185
6	960	0.463	1172.4270528131185
7	1120	0.52	1172.4270528131185
8	1280	0.582	1172.4270528131185
9	1440	0.64	1172.4270528131185
10	1600	0.699	1172.4270528131185
11	1760	0.755	1172.4270528131185
12	1920	0.812	1172.4270528131185
13	2080	0.87	1172.4270528131185
14	2240	0.924	1172.4270528131185
15	2400	0.977	1172.4270528131185
16	2560	1.034	1169.7456049137259
17	2720	1.087	1169.7456049137259
18	2880	1.141	1169.7456049137259
19	3040	1.192	1169.7456049137259
20	3200	1.25	1169.7456049137259
21	3360	1.306	1169.7456049137259
22	3520	1.357	1169.7456049137259
23	3680	1.408	1169.7456049137259
24	3840	1.462	1169.7456049137259
25	4000	1.515	1169.7456049137259
26	4160	1.57	1169.7456049137259
27	4320	1.624	1169.7456049137259
28	4480	1.675	1169.7456049137259
29	4640	1.73	1169.7456049137259
30	4800	1.783	1169.7456049137259
31	4960	1.839	1169.7456049137259
32	5120	1.89	1169.7456049137259
33	5280	1.941	1169.7456049137259
34	5440	1.996	1169.7456049137259
35	5600	2.049	1169.7456049137259
36	5760	2.101	1169.7456049137259
37	5920	2.157	1169.7456049137259
38	6080	2.209	1169.7456049137259
39	6240	2.267	1169.7456049137259
40	6400	2.318	1169.7456049137259
41	6560	2.369	1169.7456049137259
42	6720	2.425	1169.7456049137259
43	6880	2.477	1169.7456049137259
44	7040	2.529	1169.7456049137259
45	7200	2.582	1169.7456049137259
46	7360	2.635	1156.2051841756845
47	7520	2.692	1156.2051841756845
48	7680	2.745	1156.2051841756845
49	7840	2.796	1156.2051841756845
50	8000	2.85	1156.2051841756845
51	8160	2.901	1156.2051841756845
52	8320	2.953	1156.2051841756845
53	8480	3.007	1156.2051841756845
54	8640	3.06	1156.2051841756845
55	8800	3.114	1156.2051841756845
56	8960	3.167	1156.2051841756845
57	9120	3.22	1156.2051841756845
58	9280	3.275	1156.2051841756845
59	9440	3.326	1156.2051841756845
60	9600	3.38	1156.2051841756845
61	9760	3.433	1156.2051841756845
62	9920	3.485	1156.2051841756845
63	10080	3.537	1156.2051841756845
64	10240	3.588	1156.2051841756845
65	10400	3.639	1156.2051841756845
66	10560	3.692	1156.2051841756845
