iteration	evaluations	runtime[s]	f1[MIN]
1	100	0.086	51253.38479797649
2	200	0.142	51253.38479797649
3	300	0.185	51253.38479797649
4	400	0.238	51253.38479797649
5	500	0.283	51253.38479797649
6	600	0.325	51253.38479797649
7	700	0.359	51253.38479797649
8	800	0.393	51253.38479797649
9	900	0.425	51253.38479797649
10	1000	0.457	51253.38479797649
11	1100	0.488	51253.38479797649
12	1200	0.522	51253.38479797649
13	1300	0.553	51253.38479797649
14	1400	0.585	51253.38479797649
15	1500	0.617	51253.38479797649
16	1600	0.649	51253.38479797649
17	1700	0.681	51253.38479797649
18	1800	0.712	51253.38479797649
19	1900	0.743	51253.38479797649
20	2000	0.774	51253.38479797649
21	2100	0.806	51253.38479797649
22	2200	0.837	51253.38479797649
23	2300	0.867	51253.38479797649
24	2400	0.898	51253.38479797649
25	2500	0.928	51253.38479797649
26	2600	0.958	51253.38479797649
27	2700	0.989	51253.38479797649
28	2800	1.018	51253.38479797649
29	2900	1.047	51253.38479797649
30	3000	1.075	51253.38479797649
31	3100	1.104	51219.42370436245
32	3200	1.134	51219.42370436245
33	3300	1.164	51219.42370436245
34	3400	1.194	51219.42370436245
35	3500	1.224	51147.08547943258
36	3600	1.256	51103.696664013165
37	3700	1.285	51103.696664013165
38	3800	1.314	51103.696664013165
39	3900	1.345	51103.696664013165
40	4000	1.374	51103.696664013165
41	4100	1.405	51103.696664013165
42	4200	1.436	51103.696664013165
43	4300	1.466	51103.696664013165
44	4400	1.496	51048.93643913748
45	4500	1.526	51048.93643913748
46	4600	1.556	51048.93643913748
47	4700	1.585	51048.93643913748
48	4800	1.615	51048.93643913748
49	4900	1.646	51048.93643913748
50	5000	1.675	51048.93643913748
51	5100	1.705	51048.93643913748
52	5200	1.735	51048.93643913748
53	5300	1.765	51048.93643913748
54	5400	1.795	51048.93643913748
55	5500	1.825	51048.93643913748
56	5600	1.855	50937.31651526023
57	5700	1.885	50937.31651526023
58	5800	1.915	50937.31651526023
59	5900	1.945	50937.31651526023
60	6000	1.975	50937.31651526023
61	6100	2.005	50937.31651526023
62	6200	2.035	50937.31651526023
63	6300	2.064	50937.31651526023
64	6400	2.095	50937.31651526023
65	6500	2.125	50937.31651526023
66	6600	2.154	50937.31651526023
67	6700	2.183	50937.31651526023
68	6800	2.212	50937.31651526023
69	6900	2.241	50937.31651526023
70	7000	2.271	50937.31651526023
71	7100	2.301	50937.31651526023
72	7200	2.33	50937.31651526023
73	7300	2.36	50937.31651526023
74	7400	2.389	50937.31651526023
75	7500	2.418	50937.31651526023
76	7600	2.448	50937.31651526023
77	7700	2.478	50937.31651526023
78	7800	2.515	50937.31651526023
79	7900	2.544	50937.31651526023
80	8000	2.572	50937.31651526023
81	8100	2.6	50937.31651526023
82	8200	2.629	50937.31651526023
83	8300	2.657	50937.31651526023
84	8400	2.685	50937.31651526023
85	8500	2.714	50937.31651526023
86	8600	2.742	50937.31651526023
87	8700	2.771	50937.31651526023
88	8800	2.799	50937.31651526023
89	8900	2.828	50937.31651526023
90	9000	2.857	50937.31651526023
91	9100	2.885	50937.31651526023
92	9200	2.913	50937.31651526023
93	9300	2.942	50937.31651526023
94	9400	2.971	50937.31651526023
95	9500	2.999	50937.31651526023
96	9600	3.028	50937.31651526023
97	9700	3.056	50937.31651526023
98	9800	3.085	50937.31651526023
99	9900	3.113	50937.31651526023
100	10000	3.143	50937.31651526023
101	10100	3.171	50937.31651526023
102	10200	3.199	50937.31651526023
103	10300	3.228	50937.31651526023
104	10400	3.256	50937.31651526023
105	10500	3.284	50937.31651526023
106	10600	3.313	50937.31651526023
107	10700	3.341	50937.31651526023
108	10800	3.37	50937.31651526023
109	10900	3.398	50937.31651526023
110	11000	3.427	50937.31651526023
111	11100	3.456	50937.31651526023
112	11200	3.484	50937.31651526023
113	11300	3.512	50937.31651526023
114	11400	3.54	50937.31651526023
115	11500	3.569	50937.31651526023
116	11600	3.598	50937.31651526023
117	11700	3.626	50937.31651526023
118	11800	3.654	50937.31651526023
119	11900	3.682	50937.31651526023
120	12000	3.71	50937.31651526023
121	12100	3.739	50937.31651526023
122	12200	3.767	50937.31651526023
123	12300	3.795	50937.31651526023
124	12400	3.824	50772.594722970876
125	12500	3.853	50772.594722970876
126	12600	3.881	50698.963798772245
127	12700	3.909	50698.963798772245
128	12800	3.939	50698.963798772245
