iteration	evaluations	runtime[s]	f1[MIN]
1	50	0.046	49992.52156038611
2	100	0.065	48756.715918178226
3	150	0.075	48756.715918178226
4	200	0.084	48378.58950126671
5	250	0.092	47780.14769255924
6	300	0.1	47476.270334660694
7	350	0.108	47395.35452317412
8	400	0.115	47327.62689641452
9	450	0.123	47213.30842337629
10	500	0.13	47157.10087123575
11	550	0.132	47035.886603888
12	600	0.133	47010.917670513074
13	650	0.135	46870.2737775574
14	700	0.136	46799.1093277468
15	750	0.138	46752.92318175838
16	800	0.139	46568.79312304322
17	850	0.141	46478.280176342116
18	900	0.142	46452.11784779364
19	950	0.144	46356.66715028378
20	1000	0.146	46271.880491830096
21	1050	0.147	46178.479909836904
22	1100	0.149	46115.29996796338
23	1150	0.15	45941.40648239049
24	1200	0.152	45941.40648239049
25	1250	0.153	45882.61902324291
26	1300	0.155	45801.74447352134
27	1350	0.156	45752.53548175464
28	1400	0.157	45697.836054419466
29	1450	0.159	45597.75568774868
30	1500	0.16	45525.72564634293
31	1550	0.162	45454.45750667985
32	1600	0.163	45432.931728517695
33	1650	0.164	45355.491429998816
34	1700	0.166	45268.178569698364
35	1750	0.167	45179.96741649441
36	1800	0.169	45145.81792226477
37	1850	0.17	45073.9674778443
38	1900	0.171	44970.70206222014
39	1950	0.173	44895.27481424029
40	2000	0.174	44850.182866672265
41	2050	0.177	44759.95371888285
42	2100	0.178	44710.26375455139
43	2150	0.18	44606.645679265275
44	2200	0.181	44526.51480225471
45	2250	0.182	44467.99069568569
46	2300	0.184	44396.27323970948
47	2350	0.185	44284.99470628835
48	2400	0.187	44284.99470628835
49	2450	0.188	44233.70963752193
50	2500	0.19	44157.80623361653
51	2550	0.191	44120.69410687833
52	2600	0.194	44016.06383677204
53	2650	0.195	43984.663770170046
54	2700	0.196	43876.187159773384
55	2750	0.198	43777.29477948271
56	2800	0.199	43695.33119500361
57	2850	0.201	43672.14208074227
58	2900	0.202	43574.912124708826
59	2950	0.204	43494.3518683439
60	3000	0.205	43435.97179404898
61	3050	0.207	43343.57168360895
62	3100	0.208	43297.22313714359
63	3150	0.21	43216.997811217116
64	3200	0.211	43128.71167868726
65	3250	0.212	43057.214881051514
66	3300	0.214	43006.999931475046
67	3350	0.216	42936.33336987451
68	3400	0.217	42847.24226767216
69	3450	0.219	42789.51403092156
70	3500	0.22	42700.38188329607
71	3550	0.222	42618.082529120766
72	3600	0.223	42534.51392370894
73	3650	0.229	42509.815504690356
74	3700	0.23	42451.48559816155
75	3750	0.233	42408.775406544744
76	3800	0.235	42316.07398714581
77	3850	0.236	42251.8154006168
78	3900	0.238	42235.992078651245
79	3950	0.239	42153.77365326644
80	4000	0.241	42027.26868085452
81	4050	0.243	41976.16960629667
82	4100	0.245	41976.16960629667
83	4150	0.246	41919.861135090745
84	4200	0.248	41812.72769048652
85	4250	0.249	41690.09618077143
86	4300	0.251	41690.09618077143
87	4350	0.254	41567.821316059555
88	4400	0.256	41476.416511261894
89	4450	0.259	41349.75543539675
90	4500	0.261	41324.25780500879
91	4550	0.262	41281.016446323876
92	4600	0.264	41209.99125242625
93	4650	0.265	41140.89880468283
94	4700	0.267	41012.43414692707
95	4750	0.268	41012.43414692707
96	4800	0.27	40982.000696154646
97	4850	0.272	40909.66731647017
98	4900	0.274	40852.59738164765
99	4950	0.275	40821.972287613906
100	5000	0.277	40689.29034658656
101	5050	0.28	40663.96901650376
102	5100	0.282	40551.26691380265
103	5150	0.284	40493.36741360639
104	5200	0.286	40431.30780214884
105	5250	0.288	40334.20656967087
106	5300	0.29	40297.61896409952
107	5350	0.292	40248.947510801154
108	5400	0.294	40188.902516097354
109	5450	0.296	40125.48221736313
110	5500	0.297	40054.18910401226
111	5550	0.299	39991.02533919779
112	5600	0.3	39905.228061141665
