iteration	evaluations	runtime[s]	f1[MIN]
1	25	0.037	51916.95110567282
2	50	0.055	51916.95110567282
3	75	0.064	51916.95110567282
4	100	0.069	51916.95110567282
5	125	0.09	51916.95110567282
6	150	0.111	51916.95110567282
7	175	0.13	51916.95110567282
8	200	0.142	50745.80923367198
9	225	0.158	50745.80923367198
10	250	0.168	50745.80923367198
11	275	0.174	50745.80923367198
12	300	0.18	50745.80923367198
13	325	0.188	50745.80923367198
14	350	0.198	50745.80923367198
15	375	0.209	49830.30050562113
16	400	0.218	49830.30050562113
17	425	0.225	49830.30050562113
18	450	0.231	49252.38756440594
19	475	0.237	49252.38756440594
20	500	0.243	49252.38756440594
21	525	0.248	49072.21899638625
22	550	0.254	49072.21899638625
23	575	0.259	49072.21899638625
24	600	0.265	49072.21899638625
25	625	0.27	49072.21899638625
26	650	0.275	48419.31940812381
27	675	0.28	48419.31940812381
28	700	0.285	48419.31940812381
29	725	0.29	48309.53212847144
30	750	0.295	48309.53212847144
31	775	0.299	48309.53212847144
32	800	0.304	47183.22049096006
33	825	0.309	47183.22049096006
34	850	0.314	47183.22049096006
35	875	0.318	46791.892562616624
36	900	0.323	46791.892562616624
37	925	0.328	46791.892562616624
38	950	0.333	46555.586205483
39	975	0.338	46555.586205483
40	1000	0.346	46555.586205483
41	1025	0.354	46351.6120518676
42	1050	0.362	46351.6120518676
43	1075	0.37	46351.6120518676
44	1100	0.376	46325.786804803785
45	1125	0.381	46265.028302074395
46	1150	0.386	46265.028302074395
47	1175	0.393	45373.07482514449
48	1200	0.397	45373.07482514449
49	1225	0.402	45373.07482514449
50	1250	0.411	45373.07482514449
51	1275	0.42	45373.07482514449
52	1300	0.427	45373.07482514449
53	1325	0.432	45373.07482514449
54	1350	0.437	44883.94227205281
55	1375	0.441	44883.94227205281
56	1400	0.446	44883.94227205281
57	1425	0.451	44883.94227205281
58	1450	0.455	44878.8939824849
59	1475	0.46	44151.22239131242
60	1500	0.465	44151.22239131242
61	1525	0.469	44151.22239131242
62	1550	0.474	44151.22239131242
63	1575	0.478	44151.22239131242
64	1600	0.483	44151.22239131242
65	1625	0.488	44079.57318491127
66	1650	0.492	44079.57318491127
67	1675	0.496	44079.57318491127
68	1700	0.5	43533.75308175282
69	1725	0.504	43533.75308175282
70	1750	0.508	43337.277605581156
71	1775	0.512	43337.277605581156
72	1800	0.516	42959.3224890919
73	1825	0.52	42959.3224890919
74	1850	0.523	42959.3224890919
75	1875	0.527	42561.30764523919
76	1900	0.531	42561.30764523919
77	1925	0.535	42561.30764523919
78	1950	0.538	42561.30764523919
79	1975	0.542	42561.30764523919
80	2000	0.546	42404.289913680856
81	2025	0.55	42404.289913680856
82	2050	0.554	42209.32189469346
83	2075	0.557	42209.32189469346
84	2100	0.561	42209.32189469346
85	2125	0.565	42209.32189469346
86	2150	0.569	41834.1915290274
87	2175	0.573	41834.1915290274
88	2200	0.576	41397.38300188542
89	2225	0.58	41397.38300188542
90	2250	0.584	41397.38300188542
91	2275	0.588	41397.38300188542
92	2300	0.592	41397.38300188542
93	2325	0.595	41397.38300188542
94	2350	0.599	41397.38300188542
95	2375	0.603	41397.38300188542
96	2400	0.607	40527.20519342871
97	2425	0.611	40527.20519342871
98	2450	0.615	40527.20519342871
99	2475	0.618	40274.82160820365
100	2500	0.622	40274.82160820365
101	2525	0.626	40274.82160820365
102	2550	0.63	40274.82160820365
103	2575	0.633	40274.82160820365
104	2600	0.637	40274.82160820365
105	2625	0.641	40274.82160820365
106	2650	0.645	40042.38729018085
107	2675	0.649	39947.41282905799
108	2700	0.653	39947.41282905799
109	2725	0.657	39947.41282905799
110	2750	0.661	39914.28665551834
111	2775	0.665	39870.77409130217
112	2800	0.668	38547.78460391758
113	2825	0.672	38547.78460391758
114	2850	0.676	38547.78460391758
115	2875	0.68	38547.78460391758
116	2900	0.684	38547.78460391758
117	2925	0.688	38547.78460391758
118	2950	0.692	38547.78460391758
119	2975	0.696	38547.78460391758
120	3000	0.699	38547.78460391758
121	3025	0.703	38229.08709239561
122	3050	0.707	38229.08709239561
123	3075	0.71	38229.08709239561
124	3100	0.714	38229.08709239561
125	3125	0.718	38229.08709239561
126	3150	0.722	38229.08709239561
127	3175	0.725	38229.08709239561
128	3200	0.73	37674.13385865093
129	3225	0.734	37674.13385865093
130	3250	0.738	37674.13385865093
131	3275	0.741	37674.13385865093
132	3300	0.745	37674.13385865093
133	3325	0.749	37674.13385865093
134	3350	0.752	37234.00952048415
135	3375	0.768	37090.96220234494
