iteration	evaluations	runtime[s]	f1[MIN]
1	25	0.038	52043.87334778623
2	50	0.057	51637.378474544006
3	75	0.066	51637.378474544006
4	100	0.07	51637.378474544006
5	125	0.091	51589.436064991256
6	150	0.112	51360.47364958186
7	175	0.127	51334.29277461154
8	200	0.141	51334.29277461154
9	225	0.153	50289.928247243486
10	250	0.165	50130.16261433234
11	275	0.175	50130.16261433234
12	300	0.181	49345.1285280435
13	325	0.186	49345.1285280435
14	350	0.193	49345.1285280435
15	375	0.199	49345.1285280435
16	400	0.206	49345.1285280435
17	425	0.213	49345.1285280435
18	450	0.219	49345.1285280435
19	475	0.225	49345.1285280435
20	500	0.231	49092.000061494466
21	525	0.237	49092.000061494466
22	550	0.242	48035.16671117456
23	575	0.248	48035.16671117456
24	600	0.254	48035.16671117456
25	625	0.259	48035.16671117456
26	650	0.264	48035.16671117456
27	675	0.269	48035.16671117456
28	700	0.274	47888.153820390624
29	725	0.278	47715.10546044955
30	750	0.283	47715.10546044955
31	775	0.288	47715.10546044955
32	800	0.293	47715.10546044955
33	825	0.298	47715.10546044955
34	850	0.303	46605.605008564096
35	875	0.308	46605.605008564096
36	900	0.313	46415.387676346465
37	925	0.318	46415.387676346465
38	950	0.323	46415.387676346465
39	975	0.328	46168.00987001771
40	1000	0.333	46168.00987001771
41	1025	0.338	46168.00987001771
42	1050	0.343	46168.00987001771
43	1075	0.348	46168.00987001771
44	1100	0.353	45767.326461913726
45	1125	0.358	45767.326461913726
46	1150	0.362	45767.326461913726
47	1175	0.367	45751.0580271547
48	1200	0.372	45751.0580271547
49	1225	0.377	45402.44578547287
50	1250	0.381	45148.270323891134
51	1275	0.386	45148.270323891134
52	1300	0.391	45148.270323891134
53	1325	0.396	45148.270323891134
54	1350	0.4	44959.85146992734
55	1375	0.405	44741.465235352254
56	1400	0.41	44741.465235352254
57	1425	0.414	44741.465235352254
58	1450	0.419	44391.475834710254
59	1475	0.424	44391.475834710254
60	1500	0.427	44391.475834710254
61	1525	0.431	44391.475834710254
62	1550	0.435	43949.80713378768
63	1575	0.439	43470.45225554679
