iteration	evaluations	runtime[s]	distance[MIN]
1	25	0.027	9880.254191216529
2	50	0.037	9880.254191216529
3	75	0.041	9713.283785156858
4	100	0.044	9713.283785156858
5	125	0.051	9713.283785156858
6	150	0.061	9713.283785156858
7	175	0.069	9713.283785156858
8	200	0.077	9670.423219746011
9	225	0.085	9591.289637796272
10	250	0.091	9591.289637796272
11	275	0.096	9521.810485328271
12	300	0.101	9521.810485328271
13	325	0.105	9521.810485328271
14	350	0.11	9521.810485328271
15	375	0.114	9514.415245269598
16	400	0.118	9404.494483001174
17	425	0.122	9404.494483001174
18	450	0.127	9404.494483001174
19	475	0.131	9192.998164105074
20	500	0.135	9192.998164105074
21	525	0.139	9192.998164105074
22	550	0.143	9192.998164105074
23	575	0.147	9192.998164105074
24	600	0.151	9192.998164105074
25	625	0.155	9192.998164105074
26	650	0.159	9192.998164105074
27	675	0.163	9192.998164105074
28	700	0.166	9192.998164105074
29	725	0.17	9067.377625834602
30	750	0.174	9067.377625834602
31	775	0.178	9067.377625834602
32	800	0.182	9067.377625834602
33	825	0.186	9067.377625834602
34	850	0.19	9067.377625834602
35	875	0.193	9067.377625834602
36	900	0.197	9067.377625834602
37	925	0.2	8662.091643862977
38	950	0.204	8662.091643862977
39	975	0.208	8662.091643862977
40	1000	0.211	8662.091643862977
41	1025	0.215	8662.091643862977
42	1050	0.218	8662.091643862977
43	1075	0.221	8662.091643862977
44	1100	0.225	8662.091643862977
45	1125	0.228	8655.931343136253
46	1150	0.231	8609.415423526923
47	1175	0.234	8609.415423526923
48	1200	0.237	8609.415423526923
49	1225	0.24	8609.415423526923
50	1250	0.243	8609.415423526923
51	1275	0.246	8609.415423526923
52	1300	0.249	8395.152996481514
53	1325	0.252	8395.152996481514
54	1350	0.255	8395.152996481514
55	1375	0.259	8395.152996481514
56	1400	0.264	8395.152996481514
57	1425	0.269	8395.152996481514
58	1450	0.274	8395.152996481514
59	1475	0.279	8395.152996481514
60	1500	0.284	8395.152996481514
61	1525	0.289	8395.152996481514
62	1550	0.292	8395.152996481514
63	1575	0.296	8395.152996481514
64	1600	0.299	8395.152996481514
65	1625	0.303	8395.152996481514
66	1650	0.306	8395.152996481514
67	1675	0.309	8395.152996481514
68	1700	0.312	8395.152996481514
69	1725	0.315	8395.152996481514
70	1750	0.319	8395.152996481514
71	1775	0.322	8363.488964086451
72	1800	0.324	8363.488964086451
73	1825	0.325	8363.488964086451
74	1850	0.327	8321.996966326162
75	1875	0.329	8321.996966326162
76	1900	0.331	8321.996966326162
77	1925	0.333	8134.1628177656
78	1950	0.335	8134.1628177656
79	1975	0.337	8134.1628177656
80	2000	0.339	8134.1628177656
81	2025	0.341	8134.1628177656
82	2050	0.343	8134.1628177656
83	2075	0.345	8122.628215913406
84	2100	0.347	8122.628215913406
85	2125	0.349	8095.910319639804
86	2150	0.351	8026.357762038072
87	2175	0.353	8026.357762038072
88	2200	0.355	8026.357762038072
89	2225	0.357	7781.934912918826
90	2250	0.358	7781.934912918826
91	2275	0.36	7781.934912918826
92	2300	0.362	7781.934912918826
93	2325	0.364	7781.934912918826
94	2350	0.365	7781.934912918826
95	2375	0.367	7781.934912918826
96	2400	0.369	7781.934912918826
97	2425	0.371	7781.934912918826
98	2450	0.372	7781.934912918826
99	2475	0.374	7781.934912918826
100	2500	0.376	7781.934912918826
101	2525	0.378	7781.934912918826
102	2550	0.38	7781.934912918826
103	2575	0.382	7781.934912918826
104	2600	0.384	7781.934912918826
105	2625	0.386	7728.351950559071
106	2650	0.387	7728.351950559071
107	2675	0.389	7728.351950559071
108	2700	0.391	7724.6206431946275
109	2725	0.393	7724.6206431946275
110	2750	0.394	7724.6206431946275
111	2775	0.397	7724.6206431946275
112	2800	0.399	7724.6206431946275
113	2825	0.401	7692.874098698663
114	2850	0.403	7692.874098698663
115	2875	0.405	7692.874098698663
116	2900	0.407	7692.874098698663
117	2925	0.409	7692.874098698663
118	2950	0.411	7692.874098698663
119	2975	0.413	7692.874098698663
120	3000	0.415	7692.874098698663
121	3025	0.417	7692.874098698663
122	3050	0.419	7692.874098698663
123	3075	0.421	7626.277360277406
124	3100	0.423	7626.277360277406
125	3125	0.425	7626.277360277406
126	3150	0.428	7626.277360277406
127	3175	0.43	7626.277360277406
128	3200	0.432	7626.277360277406
129	3225	0.434	7626.277360277406
130	3250	0.436	7626.277360277406
131	3275	0.438	7626.277360277406
132	3300	0.44	7626.277360277406
133	3325	0.442	7626.277360277406
134	3350	0.444	7626.277360277406
135	3375	0.447	7583.263569492278
136	3400	0.45	7583.263569492278
137	3425	0.453	7583.263569492278
138	3450	0.455	7583.263569492278
139	3475	0.457	7583.263569492278
140	3500	0.459	7583.263569492278
141	3525	0.461	7583.263569492278
142	3550	0.463	7583.263569492278
143	3575	0.465	7583.263569492278
144	3600	0.467	7583.263569492278
145	3625	0.469	7397.848181879755
146	3650	0.47	7397.848181879755
147	3675	0.472	7397.848181879755
148	3700	0.474	7397.848181879755
149	3725	0.476	7397.848181879755
150	3750	0.479	7397.848181879755
151	3775	0.48	7299.318814459906
152	3800	0.482	7299.318814459906
153	3825	0.484	7299.318814459906
154	3850	0.486	7299.318814459906
155	3875	0.488	7299.318814459906
156	3900	0.49	7299.318814459906
157	3925	0.491	7299.318814459906
158	3950	0.493	7299.318814459906
