iteration	evaluations	runtime[s]	distance[MIN]
1	25	0.004	9871.487001837799
2	50	0.005	9871.487001837799
3	75	0.007	9598.150762734589
4	100	0.009	9598.150762734589
5	125	0.011	9598.150762734589
6	150	0.014	9598.150762734589
7	175	0.016	9598.150762734589
8	200	0.019	9598.150762734589
9	225	0.021	9576.296885802169
10	250	0.023	9576.296885802169
11	275	0.026	9576.296885802169
12	300	0.027	9576.296885802169
13	325	0.029	9576.296885802169
14	350	0.03	9421.634193952714
15	375	0.032	9421.634193952714
16	400	0.034	9421.634193952714
17	425	0.035	9421.634193952714
18	450	0.038	9409.232202371266
19	475	0.04	9313.724319095041
20	500	0.041	9313.724319095041
21	525	0.043	9313.724319095041
22	550	0.045	9313.724319095041
23	575	0.048	9215.896377744202
24	600	0.05	9215.896377744202
25	625	0.053	9213.294373174624
26	650	0.055	9213.294373174624
27	675	0.058	9213.294373174624
28	700	0.06	9099.03925104598
29	725	0.063	9099.03925104598
30	750	0.065	8970.044210563186
31	775	0.068	8970.044210563186
32	800	0.07	8970.044210563186
33	825	0.073	8970.044210563186
34	850	0.075	8970.044210563186
35	875	0.076	8970.044210563186
36	900	0.078	8970.044210563186
37	925	0.079	8970.044210563186
38	950	0.081	8970.044210563186
39	975	0.082	8970.044210563186
40	1000	0.084	8970.044210563186
41	1025	0.085	8838.810108259951
42	1050	0.086	8838.810108259951
43	1075	0.088	8838.810108259951
44	1100	0.089	8838.810108259951
45	1125	0.091	8838.810108259951
46	1150	0.092	8823.009606646834
47	1175	0.093	8823.009606646834
48	1200	0.095	8823.009606646834
49	1225	0.096	8823.009606646834
50	1250	0.098	8823.009606646834
51	1275	0.099	8823.009606646834
52	1300	0.1	8823.009606646834
53	1325	0.102	8823.009606646834
54	1350	0.103	8697.9565308493
55	1375	0.104	8697.9565308493
56	1400	0.106	8648.854251107514
57	1425	0.107	8648.854251107514
58	1450	0.109	8648.854251107514
59	1475	0.11	8648.854251107514
60	1500	0.111	8612.462065980151
61	1525	0.113	8541.540888231271
62	1550	0.114	8491.949317500066
63	1575	0.116	8491.949317500066
64	1600	0.118	8491.949317500066
65	1625	0.12	8491.949317500066
66	1650	0.122	8241.819585677475
67	1675	0.123	8241.819585677475
68	1700	0.124	8241.819585677475
69	1725	0.126	8241.819585677475
70	1750	0.127	8241.819585677475
71	1775	0.128	8241.819585677475
72	1800	0.13	8241.819585677475
73	1825	0.131	8241.819585677475
74	1850	0.133	8241.819585677475
75	1875	0.134	8241.819585677475
76	1900	0.135	8241.819585677475
77	1925	0.137	8241.819585677475
78	1950	0.138	8241.819585677475
79	1975	0.14	8241.819585677475
80	2000	0.141	8241.819585677475
81	2025	0.142	8241.819585677475
82	2050	0.144	8241.819585677475
83	2075	0.145	8241.819585677475
84	2100	0.147	8168.101154530376
85	2125	0.148	8168.101154530376
86	2150	0.15	8168.101154530376
87	2175	0.151	8168.101154530376
88	2200	0.153	8168.101154530376
89	2225	0.154	8096.6357579850655
90	2250	0.156	8096.6357579850655
91	2275	0.157	8096.6357579850655
92	2300	0.158	8096.6357579850655
93	2325	0.16	8096.6357579850655
94	2350	0.161	7939.358674576868
95	2375	0.163	7939.358674576868
96	2400	0.164	7939.358674576868
97	2425	0.165	7939.358674576868
98	2450	0.167	7939.358674576868
99	2475	0.168	7921.592825281273
100	2500	0.17	7921.592825281273
101	2525	0.171	7921.592825281273
102	2550	0.172	7844.948166759689
103	2575	0.174	7844.948166759689
104	2600	0.175	7844.948166759689
105	2625	0.177	7844.948166759689
106	2650	0.178	7844.948166759689
107	2675	0.179	7844.948166759689
108	2700	0.181	7836.333805325023
109	2725	0.182	7836.333805325023
110	2750	0.184	7836.333805325023
111	2775	0.185	7836.333805325023
112	2800	0.186	7836.333805325023
113	2825	0.188	7664.518383483581
114	2850	0.189	7664.518383483581
115	2875	0.19	7664.518383483581
116	2900	0.192	7664.518383483581
117	2925	0.193	7664.518383483581
118	2950	0.195	7657.7018565140515
119	2975	0.196	7657.7018565140515
120	3000	0.198	7657.7018565140515
121	3025	0.199	7657.7018565140515
122	3050	0.2	7657.7018565140515
123	3075	0.202	7657.7018565140515
124	3100	0.203	7657.7018565140515
125	3125	0.205	7657.7018565140515
126	3150	0.206	7657.7018565140515
127	3175	0.207	7657.7018565140515
128	3200	0.209	7657.7018565140515
129	3225	0.21	7657.7018565140515
130	3250	0.211	7579.814984338483
131	3275	0.213	7579.814984338483
132	3300	0.214	7579.814984338483
133	3325	0.216	7579.814984338483
134	3350	0.217	7579.814984338483
135	3375	0.218	7579.814984338483
136	3400	0.22	7579.814984338483
137	3425	0.221	7579.814984338483
138	3450	0.222	7579.814984338483
139	3475	0.224	7579.814984338483
140	3500	0.225	7579.814984338483
141	3525	0.226	7579.814984338483
142	3550	0.228	7515.455685514367
143	3575	0.229	7489.639784172742
144	3600	0.23	7469.067743996996
145	3625	0.232	7469.067743996996
146	3650	0.233	7469.067743996996
147	3675	0.234	7469.067743996996
148	3700	0.236	7457.669508909607
149	3725	0.237	7457.669508909607
150	3750	0.239	7457.669508909607
151	3775	0.24	7457.669508909607
152	3800	0.241	7457.669508909607
153	3825	0.243	7457.669508909607
154	3850	0.244	7457.669508909607
155	3875	0.245	7457.669508909607
156	3900	0.247	7457.669508909607
157	3925	0.248	7457.669508909607
158	3950	0.249	7457.669508909607
159	3975	0.251	7438.075419558051
160	4000	0.252	7415.763705916832
161	4025	0.253	7415.763705916832
162	4050	0.255	7415.763705916832
163	4075	0.256	7415.763705916832
164	4100	0.258	7415.763705916832
165	4125	0.259	7401.5766136856355
166	4150	0.26	7401.5766136856355
167	4175	0.262	7401.5766136856355
168	4200	0.263	7401.5766136856355
169	4225	0.264	7399.705523665784
170	4250	0.266	7399.705523665784
171	4275	0.267	7399.705523665784
172	4300	0.268	7399.705523665784
173	4325	0.27	7333.468337653677
174	4350	0.271	7333.468337653677
175	4375	0.272	7333.468337653677
176	4400	0.274	7333.468337653677
177	4425	0.275	7333.468337653677
178	4450	0.276	7333.468337653677
179	4475	0.278	7333.468337653677
180	4500	0.279	7333.468337653677
181	4525	0.281	7333.468337653677
182	4550	0.282	7333.468337653677
183	4575	0.283	7333.468337653677
184	4600	0.285	7333.468337653677
185	4625	0.286	7305.752417402552
186	4650	0.287	7305.752417402552
187	4675	0.289	7305.752417402552
188	4700	0.29	7305.752417402552
189	4725	0.291	7303.456310117751
190	4750	0.293	7301.868305926026
191	4775	0.294	7301.868305926026
192	4800	0.295	7262.27597398425
193	4825	0.297	7262.27597398425
194	4850	0.298	7262.27597398425
195	4875	0.299	7262.27597398425
196	4900	0.301	7260.208323349887
197	4925	0.302	7260.208323349887
198	4950	0.303	7260.208323349887
199	4975	0.305	7214.151464224716
200	5000	0.306	7122.736035164532
201	5025	0.307	7122.736035164532
202	5050	0.309	7122.736035164532
203	5075	0.31	7122.736035164532
204	5100	0.311	7122.736035164532
205	5125	0.313	7122.736035164532
206	5150	0.314	7122.736035164532
207	5175	0.315	7122.736035164532
208	5200	0.317	7122.736035164532
209	5225	0.318	7122.736035164532
210	5250	0.319	7122.736035164532
211	5275	0.321	7122.736035164532
212	5300	0.322	7080.317038070342
213	5325	0.323	7080.317038070342
214	5350	0.324	7080.317038070342
215	5375	0.325	7078.38306828047
216	5400	0.327	7071.433418584167
217	5425	0.328	7071.433418584167
218	5450	0.329	6982.797140058509
219	5475	0.33	6982.797140058509
220	5500	0.332	6982.797140058509
221	5525	0.333	6982.797140058509
222	5550	0.334	6982.797140058509
223	5575	0.335	6982.797140058509
224	5600	0.337	6982.797140058509
225	5625	0.338	6982.797140058509
226	5650	0.339	6982.797140058509
227	5675	0.34	6954.552288209005
228	5700	0.342	6954.552288209005
229	5725	0.343	6954.552288209005
230	5750	0.344	6954.552288209005
231	5775	0.345	6954.552288209005
232	5800	0.346	6954.552288209005
233	5825	0.348	6954.552288209005
234	5850	0.349	6894.715804283644
235	5875	0.35	6894.715804283644
236	5900	0.351	6894.715804283644
237	5925	0.353	6853.403977435741
238	5950	0.354	6853.403977435741
239	5975	0.355	6853.403977435741
240	6000	0.356	6853.403977435741
241	6025	0.358	6853.403977435741
242	6050	0.359	6853.403977435741
243	6075	0.36	6853.403977435741
244	6100	0.361	6853.403977435741
245	6125	0.362	6824.761073423986
246	6150	0.364	6815.088345302692
247	6175	0.365	6777.228454817217
248	6200	0.366	6777.228454817217
249	6225	0.367	6777.228454817217
250	6250	0.369	6777.228454817217
251	6275	0.383	6754.398646533806
252	6300	0.384	6754.398646533806
253	6325	0.385	6754.398646533806
254	6350	0.387	6754.398646533806
255	6375	0.388	6754.398646533806
256	6400	0.389	6725.971855360601
257	6425	0.39	6725.971855360601
258	6450	0.392	6725.971855360601
259	6475	0.393	6704.120025195017
260	6500	0.394	6704.120025195017
261	6525	0.395	6704.120025195017
262	6550	0.397	6704.120025195017
263	6575	0.398	6693.942838268383
264	6600	0.399	6693.942838268383
265	6625	0.401	6693.942838268383
266	6650	0.402	6693.942838268383
267	6675	0.403	6603.88844896232
268	6700	0.404	6603.88844896232
269	6725	0.405	6603.88844896232
270	6750	0.407	6603.88844896232
271	6775	0.408	6603.88844896232
272	6800	0.409	6551.825204023666
273	6825	0.41	6551.825204023666
274	6850	0.411	6551.825204023666
275	6875	0.413	6551.825204023666
276	6900	0.414	6551.825204023666
277	6925	0.415	6551.825204023666
278	6950	0.416	6551.825204023666
279	6975	0.418	6551.825204023666
280	7000	0.419	6551.825204023666
281	7025	0.42	6445.2394069110405
282	7050	0.421	6441.474025773315
283	7075	0.422	6441.474025773315
284	7100	0.423	6441.474025773315
285	7125	0.425	6441.474025773315
286	7150	0.426	6441.474025773315
287	7175	0.427	6441.474025773315
288	7200	0.428	6441.474025773315
289	7225	0.429	6441.474025773315
290	7250	0.43	6441.474025773315
291	7275	0.432	6441.474025773315
292	7300	0.433	6441.474025773315
293	7325	0.434	6441.474025773315
294	7350	0.435	6441.474025773315
295	7375	0.436	6441.474025773315
296	7400	0.438	6441.474025773315
297	7425	0.439	6441.474025773315
298	7450	0.44	6434.944578016596
