iteration	evaluations	runtime[s]	distance[MIN]
1	25	0.032	9884.15135000843
2	50	0.042	9816.844097351815
3	75	0.046	9436.416456023786
4	100	0.05	9436.416456023786
5	125	0.058	9436.416456023786
6	150	0.069	9436.416456023786
7	175	0.077	9436.416456023786
8	200	0.087	9436.416456023786
9	225	0.095	9436.416456023786
10	250	0.102	9436.416456023786
11	275	0.106	9436.416456023786
12	300	0.111	9420.32024613726
13	325	0.115	9420.32024613726
14	350	0.118	9420.32024613726
15	375	0.122	9420.32024613726
16	400	0.126	9284.228378092956
17	425	0.129	9284.228378092956
18	450	0.133	9284.228378092956
19	475	0.137	9284.228378092956
20	500	0.14	9284.228378092956
21	525	0.144	9273.845933009767
22	550	0.147	9273.845933009767
23	575	0.15	9273.845933009767
24	600	0.154	9273.845933009767
25	625	0.157	9226.607316853338
26	650	0.161	9176.651508099341
27	675	0.164	9115.293462099258
28	700	0.167	9065.272219158369
29	725	0.17	9000.276213718304
30	750	0.173	9000.276213718304
31	775	0.175	8976.660700272749
32	800	0.178	8959.243207086927
33	825	0.181	8959.243207086927
34	850	0.184	8959.243207086927
35	875	0.187	8959.243207086927
36	900	0.189	8959.243207086927
37	925	0.192	8928.88504645484
38	950	0.195	8928.88504645484
39	975	0.198	8928.88504645484
40	1000	0.2	8928.88504645484
41	1025	0.203	8928.88504645484
42	1050	0.206	8884.03057362071
43	1075	0.209	8809.605496220234
44	1100	0.212	8793.816710024057
45	1125	0.215	8793.816710024057
46	1150	0.217	8793.816710024057
47	1175	0.22	8793.816710024057
48	1200	0.223	8793.816710024057
49	1225	0.226	8741.203621793298
50	1250	0.229	8741.203621793298
51	1275	0.231	8741.203621793298
52	1300	0.234	8741.203621793298
53	1325	0.237	8741.203621793298
54	1350	0.24	8741.203621793298
55	1375	0.243	8741.203621793298
56	1400	0.245	8741.203621793298
57	1425	0.248	8741.203621793298
58	1450	0.251	8741.203621793298
59	1475	0.253	8741.203621793298
60	1500	0.256	8652.748147910403
61	1525	0.258	8652.748147910403
62	1550	0.261	8636.1291008778
63	1575	0.263	8629.000276725841
64	1600	0.266	8629.000276725841
65	1625	0.269	8528.378185840736
66	1650	0.271	8528.378185840736
67	1675	0.274	8445.84071151782
68	1700	0.276	8445.84071151782
69	1725	0.279	8445.84071151782
70	1750	0.281	8445.84071151782
71	1775	0.284	8445.84071151782
72	1800	0.286	8445.84071151782
73	1825	0.289	8445.84071151782
74	1850	0.291	8445.84071151782
75	1875	0.294	8335.63547133067
76	1900	0.296	8335.63547133067
77	1925	0.299	8335.63547133067
78	1950	0.301	8335.63547133067
79	1975	0.304	8335.63547133067
80	2000	0.306	8335.63547133067
81	2025	0.308	8296.23462493095
82	2050	0.311	8296.23462493095
83	2075	0.313	8296.23462493095
84	2100	0.315	8296.23462493095
85	2125	0.318	8296.23462493095
86	2150	0.32	8292.00955113239
87	2175	0.323	8292.00955113239
88	2200	0.325	8292.00955113239
89	2225	0.328	8271.135799652357
90	2250	0.33	8271.135799652357
91	2275	0.331	8167.993104762279
92	2300	0.333	8167.993104762279
93	2325	0.335	8167.993104762279
94	2350	0.336	8167.993104762279
95	2375	0.338	8167.993104762279
96	2400	0.339	8167.993104762279
97	2425	0.341	8073.178244952339
98	2450	0.342	8073.178244952339
99	2475	0.344	8073.178244952339
100	2500	0.345	8073.178244952339
101	2525	0.347	8073.178244952339
102	2550	0.348	8062.958081696197
103	2575	0.35	8062.958081696197
104	2600	0.352	8061.202422799414
105	2625	0.353	7949.662517476663
106	2650	0.355	7949.662517476663
107	2675	0.356	7917.294120858495
108	2700	0.358	7917.294120858495
109	2725	0.359	7917.294120858495
110	2750	0.361	7917.294120858495
111	2775	0.362	7917.294120858495
112	2800	0.364	7917.294120858495
113	2825	0.365	7917.294120858495
114	2850	0.366	7917.294120858495
115	2875	0.368	7917.294120858495
116	2900	0.369	7907.7007466707
117	2925	0.371	7895.286059293648
118	2950	0.372	7858.065010967951
119	2975	0.374	7858.065010967951
120	3000	0.375	7858.065010967951
121	3025	0.376	7857.74861825013
122	3050	0.378	7856.66315567008
123	3075	0.38	7856.66315567008
124	3100	0.383	7813.686090029205
125	3125	0.386	7721.991401138662
126	3150	0.387	7721.991401138662
127	3175	0.389	7721.991401138662
128	3200	0.39	7708.6307924713865
129	3225	0.392	7708.6307924713865
130	3250	0.394	7708.6307924713865
131	3275	0.395	7708.6307924713865
132	3300	0.397	7648.551746150382
133	3325	0.399	7648.551746150382
134	3350	0.402	7648.551746150382
135	3375	0.404	7648.551746150382
136	3400	0.406	7636.175246886728
137	3425	0.407	7618.846689066187
138	3450	0.409	7618.846689066187
139	3475	0.411	7593.813749154281
140	3500	0.413	7593.813749154281
141	3525	0.415	7593.813749154281
142	3550	0.417	7593.813749154281
143	3575	0.419	7593.813749154281
144	3600	0.42	7525.773538169751
145	3625	0.422	7417.577403296184
146	3650	0.424	7417.577403296184
147	3675	0.426	7417.577403296184
148	3700	0.427	7417.577403296184
149	3725	0.429	7417.577403296184
150	3750	0.431	7417.577403296184
151	3775	0.433	7417.577403296184
152	3800	0.435	7417.577403296184
153	3825	0.437	7417.577403296184
154	3850	0.438	7417.577403296184
155	3875	0.44	7417.577403296184
156	3900	0.442	7384.472738089567
157	3925	0.444	7384.472738089567
158	3950	0.446	7384.472738089567
159	3975	0.448	7335.7327961977935
160	4000	0.45	7329.7503347130105
161	4025	0.452	7315.2031910729265
162	4050	0.453	7315.047736256162
163	4075	0.455	7305.107285639418
164	4100	0.457	7305.107285639418
165	4125	0.459	7305.107285639418
166	4150	0.46	7305.107285639418
167	4175	0.462	7305.107285639418
168	4200	0.464	7305.107285639418
169	4225	0.466	7276.151364287258
170	4250	0.468	7276.151364287258
171	4275	0.469	7276.151364287258
172	4300	0.471	7225.941223791686
173	4325	0.473	7225.941223791686
174	4350	0.475	7225.941223791686
175	4375	0.477	7225.941223791686
176	4400	0.478	7190.4315948310195
177	4425	0.48	7190.4315948310195
178	4450	0.483	7190.4315948310195
179	4475	0.485	7190.4315948310195
180	4500	0.486	7190.4315948310195
181	4525	0.488	7190.4315948310195
182	4550	0.49	7190.4315948310195
183	4575	0.492	7190.4315948310195
184	4600	0.493	7190.4315948310195
185	4625	0.495	7190.4315948310195
186	4650	0.497	7190.4315948310195
187	4675	0.499	7052.654399383669
188	4700	0.5	7052.654399383669
189	4725	0.502	7052.654399383669
190	4750	0.504	7052.654399383669
191	4775	0.506	7052.654399383669
192	4800	0.508	7052.654399383669
193	4825	0.509	7052.654399383669
194	4850	0.511	7052.654399383669
195	4875	0.513	7052.654399383669
196	4900	0.515	7052.654399383669
197	4925	0.517	7052.654399383669
198	4950	0.518	7052.654399383669
199	4975	0.52	7052.654399383669
200	5000	0.523	7052.654399383669
201	5025	0.524	6965.677151573419
202	5050	0.526	6965.677151573419
203	5075	0.528	6965.677151573419
204	5100	0.53	6965.677151573419
205	5125	0.531	6965.677151573419
206	5150	0.533	6965.677151573419
207	5175	0.535	6965.677151573419
208	5200	0.537	6965.677151573419
209	5225	0.539	6965.677151573419
210	5250	0.54	6965.677151573419
211	5275	0.542	6965.677151573419
212	5300	0.544	6965.677151573419
213	5325	0.546	6965.677151573419
214	5350	0.547	6963.302981378809
215	5375	0.549	6963.302981378809
216	5400	0.551	6963.302981378809
217	5425	0.553	6963.302981378809
218	5450	0.554	6963.302981378809
219	5475	0.556	6963.302981378809
220	5500	0.558	6963.302981378809
221	5525	0.56	6963.302981378809
222	5550	0.562	6963.302981378809
223	5575	0.564	6963.302981378809
224	5600	0.566	6963.302981378809
225	5625	0.567	6963.302981378809
226	5650	0.569	6963.302981378809
227	5675	0.571	6960.817750632105
228	5700	0.573	6809.719017248846
229	5725	0.574	6809.719017248846
230	5750	0.576	6809.719017248846
231	5775	0.578	6809.719017248846
232	5800	0.58	6809.719017248846
233	5825	0.582	6809.719017248846
234	5850	0.584	6809.719017248846
